"","monkey","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY","test"
"1","16314",0.433449211123205,1,0.67319922251743,1,0.985941705124383,0.917998939796496,1,"pLNvs.tLN"
"2","20615",0.500884273138324,1,0.67319922251743,1,0.985941705124383,0.985941705124383,1,"pLNvs.tLN"
"3","30816",0.106491426416159,1,0.292851422644438,0.851931411329275,0.851931411329275,0.713999175397274,0.884375376659039,"pLNvs.tLN"
"4","3116",0.453059660240827,1,0.67319922251743,1,0.985941705124383,0.917998939796496,1,"pLNvs.tLN"
"5","31316",0.0846859889791395,0.931545878770535,0.292851422644438,0.762173900812256,0.762173900812256,0.677487911833116,0.884375376659039,"pLNvs.tLN"
"6","3216",0.256747711378733,1,0.564844965033212,1,0.985941705124383,0.815999057596885,1,"pLNvs.tLN"
"7","3316",0.584746100084924,1,0.67319922251743,1,0.985941705124383,0.985941705124383,1,"pLNvs.tLN"
"8","3516",0.611999293197664,1,0.67319922251743,1,0.985941705124383,0.985941705124383,1,"pLNvs.tLN"
"9","3616",0.0354629890233605,0.390092879256966,0.256190001961136,0.390092879256966,0.390092879256966,0.354629890233605,0.773662382906516,"pLNvs.tLN"
"10","3816",0.985941705124383,1,0.985941705124383,1,0.985941705124383,0.985941705124383,1,"pLNvs.tLN"
"11","4016",0.0465800003565701,0.512380003922271,0.256190001961136,0.465800003565701,0.465800003565701,0.419220003209131,0.773662382906516,"pLNvs.tLN"
"12","16314",0.71532082754681,1,0.925547729347482,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"13","20615",0.332488443704796,1,0.668987939058205,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"14","30816",NA,NA,NA,NA,NA,NA,NA,"pLNvs.lung"
"15","3116",0.0666274776518539,0.533019821214831,0.533019821214831,0.533019821214831,0.533019821214831,0.533019821214831,1,"pLNvs.lung"
"16","31316",0.334493969529103,1,0.668987939058205,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"17","3216",0.804565751512813,1,0.925547729347482,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"18","3316",NA,NA,NA,NA,NA,NA,NA,"pLNvs.lung"
"19","3516",0.13699590076634,1,0.54798360306536,0.95897130536438,0.95897130536438,0.82197540459804,1,"pLNvs.lung"
"20","3616",NA,NA,NA,NA,NA,NA,NA,"pLNvs.lung"
"21","3816",0.967203993795637,1,0.967203993795637,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"22","4016",0.809854263179047,1,0.925547729347482,1,0.967203993795637,0.967203993795638,1,"pLNvs.lung"
"23","16314",0.643096215182069,1,0.734967103065222,1,0.864749244967839,0.864749244967839,1,"tLNvs.Lung"
"24","20615",0.0655279109548171,0.524223287638537,0.262111643819268,0.458695376683719,0.458695376683719,0.458695376683719,0.712382003380226,"tLNvs.Lung"
"25","30816",NA,NA,NA,NA,NA,NA,NA,"tLNvs.Lung"
"26","3116",0.00511864514826831,0.0409491611861465,0.0409491611861465,0.0409491611861465,0.0409491611861465,0.0409491611861465,0.111293970223777,"tLNvs.Lung"
"27","31316",0.547725375818857,1,0.73030050109181,1,0.864749244967839,0.864749244967839,1,"tLNvs.Lung"
"28","3216",0.265497417359728,1,0.530994834719456,1,0.864749244967839,0.857461620242759,1,"tLNvs.Lung"
"29","3316",NA,NA,NA,NA,NA,NA,NA,"tLNvs.Lung"
"30","3516",0.38742194995672,1,0.619875119930752,1,0.864749244967839,0.864749244967839,1,"tLNvs.Lung"
"31","3616",NA,NA,NA,NA,NA,NA,NA,"tLNvs.Lung"
"32","3816",0.864749244967839,1,0.864749244967839,1,0.864749244967839,0.864749244967839,1,"tLNvs.Lung"
"33","4016",0.166114274319679,1,0.442971398185809,0.996685645918071,0.864749244967839,0.803870268977587,1,"tLNvs.Lung"
